model,model_type,accuracy,precision,recall,f1,auc,MAE,RMSE,R2,Adjusted_R2
Logistic Regression,classification,0.7808988764044944,0.7543859649122807,0.6323529411764706,0.688,0.8264705882352942,,,,
Decision Tree,classification,0.8146067415730337,0.7868852459016393,0.7058823529411765,0.7441860465116279,0.8206550802139037,,,,
Random Forest,classification,0.8033707865168539,0.7796610169491526,0.6764705882352942,0.7244094488188977,0.8231951871657754,,,,
Multivariate Linear Regression,regression,,,,,,21.09860425964042,41.70210467903215,0.3481625721605431,0.3091303908527911
